Scaled Voxel Centers:
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
 [ 6.26463076e+01  1.09960209e+02 -2.00352054e+01]
